STORE_NBR,LYLTY_CARD_NBR,MONTH_END,TOT_SALES_PER_MONTH,TXN_COUNT
1,1282,8/31/2018,2.7,1
1,1385,8/31/2018,3.3,1
1,1341,8/31/2018,1.9,1
1,1444,8/31/2018,3,1
1,1417,8/31/2018,5.4,1
1,1183,8/31/2018,6,1
1,1294,8/31/2018,3,1
1,1375,8/31/2018,3,1
1,1280,8/31/2018,6,1
1,1380,8/31/2018,9.5,2
1,1020,8/31/2018,2.6,1
1,1436,8/31/2018,3.8,1
1,1430,9/30/2018,4.4,1
1,1228,9/30/2018,4.3,1
1,1380,9/30/2018,8.6,1
1,1057,9/30/2018,5.1,1
1,1419,9/30/2018,4.6,1
1,1357,9/30/2018,9.2,1
1,1114,9/30/2018,5.7,2
1,1346,9/30/2018,4.4,1
1,1196,9/30/2018,10.8,1
1,1241,9/30/2018,6.6,1
1,1364,9/30/2018,3.3,1
1,1305,9/30/2018,5.7,1
1,1181,9/30/2018,1.9,1
1,1121,9/30/2018,1.9,1
1,1120,9/30/2018,4.4,1
1,1189,9/30/2018,2.7,1
1,1142,9/30/2018,4.4,1
1,1065,9/30/2018,5.5,2
1,1116,9/30/2018,3.7,1
1,1192,9/30/2018,3,1
1,1173,9/30/2018,3,1
1,1137,9/30/2018,2.6,1
1,1318,9/30/2018,3,1
1,1010,9/30/2018,8.8,1
1,1104,9/30/2018,8.8,1
1,1182,9/30/2018,7.4,1
1,1288,9/30/2018,6.3,2
1,1377,9/30/2018,3.1,1
1,1457,9/30/2018,3,1
1,1345,9/30/2018,3.7,1
1,1048,9/30/2018,4.4,1
1,1088,9/30/2018,3.8,1
1,1201,9/30/2018,3,1
1,1159,9/30/2018,3.7,1
1,1333,9/30/2018,4.4,1
1,1448,9/30/2018,4.4,1
1,1051,9/30/2018,5.8,1
1,1470,9/30/2018,5.4,1
1,1417,9/30/2018,4.2,1
1,1224,9/30/2018,5.8,1
1,1467,9/30/2018,2.6,1
1,1308,9/30/2018,5.4,1
1,1400,9/30/2018,3.7,1
1,1052,9/30/2018,3.3,1
1,1141,9/30/2018,3.8,1
1,1018,9/30/2018,4.6,1
1,1402,9/30/2018,2.7,1
1,1373,9/30/2018,3.1,1
1,1161,9/30/2018,3.7,1
1,1429,9/30/2018,8.8,1
1,1225,9/30/2018,1.9,1
1,1247,9/30/2018,4.4,1
1,1236,9/30/2018,7.8,1
1,1360,9/30/2018,5.7,1
1,1390,9/30/2018,2.3,1
1,1287,9/30/2018,9.2,1
1,1002,9/30/2018,2.7,1
1,1156,9/30/2018,3.7,1
1,1081,9/30/2018,4.6,1
1,1280,10/31/2018,5.4,1
1,1455,10/31/2018,4.2,1
1,1488,10/31/2018,4.6,1
1,1226,10/31/2018,4.6,1
1,1419,10/31/2018,7.2,1
1,1263,10/31/2018,3.9,1
1,1000,10/31/2018,6,1
1,1434,10/31/2018,1.9,1
1,1385,10/31/2018,6.6,1
1,1490,10/31/2018,7.8,1
1,1150,10/31/2018,1.5,1
1,1414,10/31/2018,3,1
1,1039,10/31/2018,3,1
1,1278,10/31/2018,3.8,1
1,1377,10/31/2018,1.8,1
1,1199,10/31/2018,1.8,1
1,1174,10/31/2018,7.6,1
1,1186,10/31/2018,1.7,1
1,1374,10/31/2018,6.5,2
1,1351,10/31/2018,2.6,1
1,1431,10/31/2018,4.6,1
1,1146,10/31/2018,3,1
1,1060,10/31/2018,8.4,1
1,1172,10/31/2018,6,1
1,1020,10/31/2018,5.7,1
1,1482,10/31/2018,3.8,1
1,1400,10/31/2018,3.6,1
1,1111,10/31/2018,4.2,1
1,1094,10/31/2018,3,1
1,1317,10/31/2018,4.4,1
1,1134,10/31/2018,2.9,1
1,1238,10/31/2018,3.7,1
1,1364,10/31/2018,3,1
1,1099,10/31/2018,4.4,1
1,1413,10/31/2018,3,1
1,1254,10/31/2018,9.2,1
1,1411,10/31/2018,1.7,1
1,1291,10/31/2018,3.8,1
1,1178,10/31/2018,4.2,1
1,1067,10/31/2018,1.7,1
1,1273,10/31/2018,7.4,1
1,1406,10/31/2018,3.7,1
1,1022,10/31/2018,4.6,1
1,1171,10/31/2018,2.6,1
1,1362,11/30/2018,5.4,1
1,1125,11/30/2018,5.8,1
1,1383,11/30/2018,7.4,1
1,1399,11/30/2018,1.9,1
1,1097,11/30/2018,3,1
1,1369,11/30/2018,3.8,1
1,1487,11/30/2018,2.3,1
1,1438,11/30/2018,3.6,1
1,1086,11/30/2018,2.7,1
1,1490,11/30/2018,5.9,1
1,1310,11/30/2018,2.6,1
1,1419,11/30/2018,5.7,1
1,1229,11/30/2018,5.8,1
1,1270,11/30/2018,2.8,1
1,1062,11/30/2018,1.7,1
1,1348,11/30/2018,3.3,1
1,1313,11/30/2018,2.8,1
1,1080,11/30/2018,3,1
1,1452,11/30/2018,7.4,1
1,1146,11/30/2018,2.1,1
1,1403,11/30/2018,2.7,1
1,1434,11/30/2018,8.8,1
1,1397,11/30/2018,1.7,1
1,1011,11/30/2018,5.1,1
1,1025,11/30/2018,6,1
1,1326,11/30/2018,11.1,2
1,1004,11/30/2018,1.9,1
1,1320,11/30/2018,3.7,1
1,1376,11/30/2018,4.2,1
1,1054,11/30/2018,4.6,1
1,1335,11/30/2018,3.7,1
1,1186,11/30/2018,1.9,1
1,1411,11/30/2018,5.4,1
1,1378,11/30/2018,4.4,1
1,1018,11/30/2018,3,1
1,1288,11/30/2018,3.7,1
1,1450,11/30/2018,7.4,1
1,1277,11/30/2018,3.3,1
1,1418,11/30/2018,4.6,1
1,1224,11/30/2018,3.8,1
1,1307,11/30/2018,3.8,1
1,1278,11/30/2018,4.6,1
1,1009,11/30/2018,5.7,1
1,1184,11/30/2018,3.8,1
1,1485,11/30/2018,3,1
1,1314,11/30/2018,1.7,1
1,1007,12/31/2018,6.5,2
1,1437,12/31/2018,1.9,1
1,1141,12/31/2018,3.8,1
1,1233,12/31/2018,10.8,1
1,1038,12/31/2018,6,1
1,1005,12/31/2018,2.8,1
1,1183,12/31/2018,2.4,1
1,1182,12/31/2018,3,1
1,1353,12/31/2018,7.6,1
1,1327,12/31/2018,5.4,1
1,1347,12/31/2018,2.9,1
1,1124,12/31/2018,1.5,1
1,1150,12/31/2018,2.6,1
1,1370,12/31/2018,1.5,1
1,1394,12/31/2018,4.4,1
1,1223,12/31/2018,2.1,1
1,1159,12/31/2018,5.9,1
1,1010,12/31/2018,5.1,1
1,1330,12/31/2018,1.7,1
1,1359,12/31/2018,3,1
1,1179,12/31/2018,16.3,3
1,1464,12/31/2018,8.8,1
1,1011,12/31/2018,6.7,2
1,1093,12/31/2018,3.4,1
1,1455,12/31/2018,5.4,1
1,1473,12/31/2018,4.2,1
1,1358,12/31/2018,3.3,1
1,1484,12/31/2018,3.7,1
1,1290,12/31/2018,3.7,1
1,1410,12/31/2018,6,1
1,1486,12/31/2018,2.6,1
1,1109,12/31/2018,2.9,1
1,1242,12/31/2018,1.7,1
1,1345,12/31/2018,3,1
1,1026,12/31/2018,2.1,1
1,1376,12/31/2018,4.2,1
1,1407,12/31/2018,5.4,1
1,1229,12/31/2018,3.7,1
1,1155,12/31/2018,10.2,1
1,1173,12/31/2018,6,2
1,1263,12/31/2018,3.7,1
1,1494,12/31/2018,1.7,1
1,1477,1/31/2019,4.6,1
1,1071,1/31/2019,4.6,1
1,1068,1/31/2019,1.7,1
1,1097,1/31/2019,10.8,1
1,1487,1/31/2019,7.4,1
1,1212,1/31/2019,6.8,2
1,1357,1/31/2019,3.7,1
1,1095,1/31/2019,3,1
1,1206,1/31/2019,5.7,1
1,1262,1/31/2019,4.2,1
1,1134,1/31/2019,3,1
1,1240,1/31/2019,3.8,1
1,1285,1/31/2019,5.9,1
1,1266,1/31/2019,3.8,1
1,1202,1/31/2019,5.4,1
1,1365,1/31/2019,4.6,1
1,1205,1/31/2019,3.8,1
1,1452,1/31/2019,5.7,1
1,1409,1/31/2019,4.3,1
1,1074,1/31/2019,2.6,1
1,1339,1/31/2019,2.7,1
1,1247,1/31/2019,2.7,1
1,1298,1/31/2019,5.8,1
1,1470,1/31/2019,3,1
1,1474,1/31/2019,1.7,1
1,1019,1/31/2019,3.1,1
1,1443,1/31/2019,3,1
1,1211,1/31/2019,4.4,1
1,1048,1/31/2019,4.8,1
1,1169,1/31/2019,2.8,1
1,1448,1/31/2019,3.6,1
1,1303,1/31/2019,6.6,1
1,1495,1/31/2019,2.6,1
1,1233,1/31/2019,8.8,1
1,1164,1/31/2019,3.8,1
1,1338,2/28/2019,2.7,1
1,1086,2/28/2019,3.8,1
1,1473,2/28/2019,3,1
1,1205,2/28/2019,3.3,1
1,1042,2/28/2019,4.2,1
1,1314,2/28/2019,3,1
1,1254,2/28/2019,3.6,1
1,1099,2/28/2019,1.8,1
1,1046,2/28/2019,4.2,1
1,1057,2/28/2019,5.4,1
1,1275,2/28/2019,4.3,1
1,1286,2/28/2019,2.3,1
1,1489,2/28/2019,4.2,1
1,1501,2/28/2019,5.5,2
1,1064,2/28/2019,6.4,2
1,1423,2/28/2019,2.7,1
1,1459,2/28/2019,4.6,1
1,1396,2/28/2019,2.7,1
1,1354,2/28/2019,5.2,1
1,1463,2/28/2019,5.1,1
1,1392,2/28/2019,3,1
1,1444,2/28/2019,2.6,1
1,1360,2/28/2019,3.8,1
1,1170,2/28/2019,10.2,1
1,1305,2/28/2019,5.7,1
1,1158,2/28/2019,2.1,1
1,1123,2/28/2019,1.9,1
1,1240,2/28/2019,2.6,1
1,1298,2/28/2019,1.9,1
1,1189,2/28/2019,2.7,1
1,1043,2/28/2019,3.3,1
1,1116,2/28/2019,11.8,1
1,1081,2/28/2019,3.8,1
1,1150,2/28/2019,5.7,1
1,1163,2/28/2019,3,1
1,1267,2/28/2019,3.7,1
1,1054,2/28/2019,2.9,1
1,1080,2/28/2019,1.9,1
1,1062,2/28/2019,2.7,1
1,1206,2/28/2019,4.6,1
1,1229,2/28/2019,15.9,2
1,1024,2/28/2019,3,1
1,1451,2/28/2019,5.7,1
1,1174,2/28/2019,6.6,1
1,1091,2/28/2019,4.2,1
1,1478,2/28/2019,6.5,1
1,1464,2/28/2019,5.4,1
1,1136,2/28/2019,2.1,1
1,1346,2/28/2019,3,1
1,1477,2/28/2019,4.2,1
1,1202,2/28/2019,5.7,1
1,1337,2/28/2019,5.2,1
1,1456,3/31/2019,13.2,2
1,1420,3/31/2019,3.3,1
1,1224,3/31/2019,2.9,1
1,1386,3/31/2019,4.2,1
1,1306,3/31/2019,4.4,1
1,1081,3/31/2019,2.9,1
1,1460,3/31/2019,6,1
1,1415,3/31/2019,3.3,1
1,1034,3/31/2019,6.8,2
1,1263,3/31/2019,5.9,1
1,1465,3/31/2019,6,1
1,1411,3/31/2019,4.4,1
1,1089,3/31/2019,3,1
1,1349,3/31/2019,3.3,1
1,1042,3/31/2019,1.8,1
1,1094,3/31/2019,4.6,1
1,1439,3/31/2019,4.4,1
1,1365,3/31/2019,3,1
1,1013,3/31/2019,8.1,2
1,1369,3/31/2019,3,1
1,1250,3/31/2019,2.9,1
1,1103,3/31/2019,2.9,1
1,1281,3/31/2019,2.7,1
1,1012,3/31/2019,5.7,1
1,1003,3/31/2019,6.6,2
1,1475,3/31/2019,5.7,1
1,1348,3/31/2019,2.7,1
1,1239,3/31/2019,3.7,1
1,1192,3/31/2019,5.4,1
1,1468,3/31/2019,3.7,1
1,1105,3/31/2019,2.1,1
1,1117,3/31/2019,5.1,1
1,1480,3/31/2019,2.1,1
1,1232,3/31/2019,5.9,1
1,1286,3/31/2019,6,1
1,1241,3/31/2019,1.9,1
1,1113,3/31/2019,4.4,1
1,1256,3/31/2019,3.8,1
1,1164,3/31/2019,2.7,1
1,1168,3/31/2019,8.8,1
1,1307,3/31/2019,2.1,1
1,1133,3/31/2019,2.7,1
1,1152,3/31/2019,2.6,1
1,1146,3/31/2019,1.9,1
1,1454,3/31/2019,4.3,1
1,1042,4/30/2019,3,1
1,1087,4/30/2019,3,1
1,1072,4/30/2019,1.7,1
1,1139,4/30/2019,1.9,1
1,1350,4/30/2019,3.8,1
1,1423,4/30/2019,4.6,1
1,1422,4/30/2019,5.1,1
1,1491,4/30/2019,4.6,1
1,1318,4/30/2019,7.2,1
1,1193,4/30/2019,4.3,1
1,1090,4/30/2019,3,1
1,1016,4/30/2019,4.4,1
1,1150,4/30/2019,6,1
1,1376,4/30/2019,3.7,1
1,1115,4/30/2019,6,1
1,1413,4/30/2019,5.4,1
1,1243,4/30/2019,5.4,1
1,1349,4/30/2019,5.8,1
1,1240,4/30/2019,2.1,1
1,1061,4/30/2019,3.3,1
1,1480,4/30/2019,4.6,1
1,1060,4/30/2019,4.6,1
1,1219,4/30/2019,6.5,1
1,1320,4/30/2019,4.6,1
1,1232,4/30/2019,6,1
1,1053,4/30/2019,4.6,1
1,1094,4/30/2019,7.4,1
1,1257,4/30/2019,5.4,1
1,1457,4/30/2019,2.7,1
1,1127,4/30/2019,2.1,1
1,1298,4/30/2019,5.2,1
1,1455,4/30/2019,7.4,1
1,1367,4/30/2019,11.4,2
1,1487,4/30/2019,5.2,1
1,1395,4/30/2019,5.8,1
1,1369,4/30/2019,3,1
1,1116,4/30/2019,3,1
1,1274,4/30/2019,7.6,1
1,1414,4/30/2019,1.7,1
1,1142,4/30/2019,4.2,1
1,1050,4/30/2019,3,1
1,1108,4/30/2019,2.6,1
1,1343,5/31/2019,2.9,1
1,1313,5/31/2019,10.4,2
1,1357,5/31/2019,2.3,1
1,1297,5/31/2019,7.8,1
1,1307,5/31/2019,6.3,1
1,1501,5/31/2019,17.2,2
1,1401,5/31/2019,1.9,1
1,1159,5/31/2019,9.3,2
1,1277,5/31/2019,2.3,1
1,1060,5/31/2019,4.4,1
1,1077,5/31/2019,4.6,1
1,1146,5/31/2019,3.8,1
1,1489,5/31/2019,2.3,1
1,1461,5/31/2019,1.9,1
1,1121,5/31/2019,3,1
1,1367,5/31/2019,5.7,1
1,1071,5/31/2019,2.6,1
1,1076,5/31/2019,2.6,1
1,1248,5/31/2019,2.6,1
1,1364,5/31/2019,3.3,1
1,1020,5/31/2019,3.1,1
1,1342,5/31/2019,4.4,1
1,1056,5/31/2019,3.9,1
1,1459,5/31/2019,8.8,1
1,1118,5/31/2019,2.7,1
1,1327,5/31/2019,10.2,1
1,1023,5/31/2019,3,1
1,1456,5/31/2019,4.2,1
1,1361,5/31/2019,3.7,1
1,1346,5/31/2019,9.2,1
1,1460,5/31/2019,1.5,1
1,1197,5/31/2019,5.7,1
1,1179,5/31/2019,4.4,1
1,1256,5/31/2019,5.4,1
1,1409,5/31/2019,3.1,1
1,1149,5/31/2019,2.6,1
1,1356,5/31/2019,2.7,1
1,1097,5/31/2019,1.7,1
1,1276,5/31/2019,2.7,1
1,1262,5/31/2019,6,1
1,1190,5/31/2019,4.6,1
1,1134,5/31/2019,4.4,1
1,1424,5/31/2019,1.7,1
1,1104,5/31/2019,13.9,3
1,1165,5/31/2019,3,1
1,1289,5/31/2019,7.6,1
1,1139,6/30/2019,4.2,1
1,1044,6/30/2019,3,1
1,1124,6/30/2019,3,1
1,1028,6/30/2019,2.7,1
1,1402,6/30/2019,9.2,1
1,1262,6/30/2019,4.6,1
1,1012,6/30/2019,4.6,1
1,1363,6/30/2019,3.8,1
1,1406,6/30/2019,1.9,1
1,1191,6/30/2019,5.7,1
1,1016,6/30/2019,4.2,1
1,1408,6/30/2019,1.9,1
1,1421,6/30/2019,2.6,1
1,1401,6/30/2019,3.8,1
1,1380,6/30/2019,6,1
1,1484,6/30/2019,3.6,1
1,1360,6/30/2019,4.6,1
1,1030,6/30/2019,5.4,1
1,1354,6/30/2019,1.7,1
1,1018,6/30/2019,2.4,1
1,1272,6/30/2019,3,1
1,1504,6/30/2019,3,1
1,1218,6/30/2019,3.8,1
1,1433,6/30/2019,2.7,1
1,1177,6/30/2019,3.7,1
1,1403,6/30/2019,3.6,1
1,1336,6/30/2019,2.9,1
1,1244,6/30/2019,7.6,1
1,1235,6/30/2019,3,1
1,1080,6/30/2019,3,1
1,1065,6/30/2019,2.7,1
1,1453,6/30/2019,6,1
1,1313,6/30/2019,3.3,1
1,1443,6/30/2019,2.6,1
1,1446,6/30/2019,16.6,2
1,1242,6/30/2019,1.9,1
1,1444,6/30/2019,1.7,1
1,1081,6/30/2019,5.1,1
1,1459,6/30/2019,8.8,1
1,1470,6/30/2019,4.2,1
1,1392,6/30/2019,3,1
1,1451,6/30/2019,3,1
10,10239,7/31/2018,5.2,1
10,10061,7/31/2018,14.8,2
10,10102,7/31/2018,10.8,1
10,10064,7/31/2018,5.8,1
10,10031,7/31/2018,8.8,1
10,10012,7/31/2018,4.2,1
10,10062,7/31/2018,6,1
10,10129,7/31/2018,7.6,1
10,10141,7/31/2018,16.2,2
10,10140,7/31/2018,17.4,2
10,10151,7/31/2018,6,1
10,10180,7/31/2018,4.2,1
10,10055,7/31/2018,10.8,1
10,10073,7/31/2018,7.4,1
10,10032,7/31/2018,6.6,1
10,10071,7/31/2018,9.2,1
10,10136,7/31/2018,8.4,1
10,10020,7/31/2018,11.4,2
10,10110,7/31/2018,13,1
10,10250,7/31/2018,11.8,2
10,10156,7/31/2018,6,1
10,10097,7/31/2018,8.8,1
10,10027,7/31/2018,5.8,1
10,10162,7/31/2018,7.4,1
10,10144,7/31/2018,5.8,1
10,10051,7/31/2018,8.4,1
10,10083,7/31/2018,5.4,1
10,10183,7/31/2018,28,3
10,10077,7/31/2018,10.8,1
10,10036,7/31/2018,12.6,2
10,10046,7/31/2018,8.8,1
10,10178,7/31/2018,8.4,1
10,10065,7/31/2018,10.2,1
10,10075,7/31/2018,5.2,1
10,10213,7/31/2018,18.4,2
10,10089,7/31/2018,10.8,1
10,10111,7/31/2018,16,2
10,10248,7/31/2018,7.4,1
10,10120,7/31/2018,6,1
10,10205,7/31/2018,5.2,1
10,10139,7/31/2018,4.6,1
10,10079,7/31/2018,6,1
10,10181,7/31/2018,11.4,1
10,10022,7/31/2018,3.8,1
10,10060,7/31/2018,7.4,1
10,10015,7/31/2018,3.4,1
10,10128,7/31/2018,5.2,1
10,10177,7/31/2018,10.8,1
10,10066,7/31/2018,7.4,1
10,10163,7/31/2018,8.8,1
10,10029,7/31/2018,18.2,2
10,10040,7/31/2018,6,1
10,10233,7/31/2018,7.4,1
10,10090,7/31/2018,6,1
10,10008,7/31/2018,3.8,1
10,10118,7/31/2018,8.4,1
10,10153,7/31/2018,7.8,1
10,10229,7/31/2018,32,4
10,10223,7/31/2018,6,1
10,10147,7/31/2018,6.6,1
10,10219,7/31/2018,7.8,1
10,10063,7/31/2018,14.4,2
10,10146,7/31/2018,7.4,1
10,10143,7/31/2018,5.2,1
10,10192,7/31/2018,3.8,1
10,10135,7/31/2018,7.6,1
10,10133,7/31/2018,5.8,1
10,10117,7/31/2018,10,2
10,10045,7/31/2018,5.4,1
10,10026,7/31/2018,10.2,1
10,10179,7/31/2018,6,1
10,10033,7/31/2018,6,1
10,10244,7/31/2018,5.4,1
10,10190,7/31/2018,7.4,1
10,10185,7/31/2018,9.2,1
10,10011,7/31/2018,7.6,1
10,10044,7/31/2018,8.8,1
10,10157,7/31/2018,11.8,1
10,10049,7/31/2018,7.4,1
10,10240,7/31/2018,6,1
10,10002,7/31/2018,16.8,2
10,10101,7/31/2018,16.4,3
10,10200,7/31/2018,3,1
10,10230,7/31/2018,4.2,1
10,10114,7/31/2018,16.8,2
10,10059,7/31/2018,6,1
10,10186,7/31/2018,4.8,1
10,10093,7/31/2018,18.4,2
10,10161,7/31/2018,10.8,1
10,10112,7/31/2018,11.8,1
10,10168,7/31/2018,3.6,1
10,10159,7/31/2018,7.6,1
10,10176,7/31/2018,3.8,1
10,10204,7/31/2018,6,1
10,10014,7/31/2018,9.2,1
10,10106,7/31/2018,11.4,1
10,10224,7/31/2018,11.4,1
10,10018,7/31/2018,10.8,1
10,10038,7/31/2018,10.6,2
10,10236,7/31/2018,3.4,1
10,10246,8/31/2018,34.4,4
10,10087,8/31/2018,11.4,1
10,10178,8/31/2018,7.9,2
10,10154,8/31/2018,11.2,2
10,10148,8/31/2018,3.8,1
10,10044,8/31/2018,8.6,1
10,10051,8/31/2018,8.8,1
10,10197,8/31/2018,18.6,2
10,10103,8/31/2018,5.4,1
10,10162,8/31/2018,13.2,2
10,10166,8/31/2018,13,1
10,10238,8/31/2018,11,2
10,10018,8/31/2018,7.6,1
10,10188,8/31/2018,9.2,1
10,10028,8/31/2018,7.8,1
10,10235,8/31/2018,2.7,1
10,10192,8/31/2018,4.8,1
10,10084,8/31/2018,12.4,2
10,10098,8/31/2018,8.4,1
10,10214,8/31/2018,3.4,1
10,10144,8/31/2018,10.8,1
10,10205,8/31/2018,11.8,1
10,10052,8/31/2018,7.1,2
10,10111,8/31/2018,8.6,1
10,10096,8/31/2018,6,1
10,10072,8/31/2018,8.8,1
10,10195,8/31/2018,7.2,1
10,10206,8/31/2018,4.4,1
10,10216,8/31/2018,4.2,1
10,10059,8/31/2018,3.8,1
10,10120,8/31/2018,7.6,1
10,10201,8/31/2018,8.6,1
10,10133,8/31/2018,3.8,1
10,10001,8/31/2018,13,2
10,10012,8/31/2018,20,2
10,10014,8/31/2018,16.8,2
10,10053,8/31/2018,6.9,2
10,10023,8/31/2018,7.6,1
10,10112,8/31/2018,13.6,2
10,10141,8/31/2018,6,1
10,10029,8/31/2018,3.25,1
10,10158,8/31/2018,10.9,2
10,10175,8/31/2018,3,1
10,10091,8/31/2018,11.4,1
10,10000,8/31/2018,4.6,1
10,10160,8/31/2018,7.6,1
10,10199,8/31/2018,8.4,1
10,10230,8/31/2018,11.6,2
10,10198,8/31/2018,8.4,1
10,10155,8/31/2018,13.6,2
10,10056,8/31/2018,19.6,2
10,10185,8/31/2018,5.1,1
10,10125,8/31/2018,2.4,1
10,10065,8/31/2018,6.7,2
10,10196,8/31/2018,7.8,1
10,10163,8/31/2018,6,1
10,10049,8/31/2018,6,1
10,10085,8/31/2018,3.8,1
10,10093,8/31/2018,11.8,2
10,10104,8/31/2018,7.4,1
10,10126,8/31/2018,4.2,1
10,10161,8/31/2018,9.2,1
10,10033,8/31/2018,5.6,1
10,10191,8/31/2018,3.8,1
10,10165,8/31/2018,11.4,1
10,10037,8/31/2018,10.8,1
10,10107,8/31/2018,5.4,1
10,10171,8/31/2018,23.4,3
10,10181,8/31/2018,7.6,1
10,10115,8/31/2018,11.4,1
10,10121,8/31/2018,13.2,1
10,10172,8/31/2018,6.6,1
10,10187,8/31/2018,18,2
10,10204,8/31/2018,7.4,1
10,10210,8/31/2018,6,1
10,10057,8/31/2018,6,1
10,10069,8/31/2018,8.8,1
10,10150,8/31/2018,15.8,2
10,10101,8/31/2018,11.4,1
10,10061,8/31/2018,6,1
10,10026,8/31/2018,9.2,1
10,10077,8/31/2018,15.2,2
10,10027,8/31/2018,14,2
10,10113,8/31/2018,10.4,2
10,10139,8/31/2018,13.6,2
10,10032,8/31/2018,7.6,1
10,10031,8/31/2018,12,1
10,10237,8/31/2018,6,1
10,10233,8/31/2018,11.4,1
10,10129,8/31/2018,4.2,1
10,10249,8/31/2018,16.5,1
10,10106,8/31/2018,5.8,1
10,10003,8/31/2018,4.4,1
10,10046,8/31/2018,6,1
10,10050,8/31/2018,3.4,1
10,10234,8/31/2018,7.4,1
10,10089,9/30/2018,10.8,1
10,10112,9/30/2018,9.2,1
10,10199,9/30/2018,15.8,2
10,10123,9/30/2018,8.4,1
10,10230,9/30/2018,3.4,1
10,10001,9/30/2018,7.6,2
10,10085,9/30/2018,7.6,1
10,10184,9/30/2018,7.4,1
10,10035,9/30/2018,14,2
10,10037,9/30/2018,10.2,1
10,10237,9/30/2018,6.6,1
10,10017,9/30/2018,5.2,1
10,10042,9/30/2018,11.8,2
10,10159,9/30/2018,5.2,1
10,10033,9/30/2018,11.2,2
10,10147,9/30/2018,3.8,1
10,10211,9/30/2018,7.8,1
10,10012,9/30/2018,3.4,1
10,10169,9/30/2018,13,2
10,10201,9/30/2018,3.8,1
10,10138,9/30/2018,7.2,1
10,10162,9/30/2018,10.6,2
10,10224,9/30/2018,6.6,1
10,10195,9/30/2018,10.8,1
10,10212,9/30/2018,20.6,2
10,10018,9/30/2018,5.4,1
10,10043,9/30/2018,3.4,1
10,10227,9/30/2018,10.8,1
10,10126,9/30/2018,21,3
10,10245,9/30/2018,14.4,2
10,10145,9/30/2018,4.2,1
10,10235,9/30/2018,7.6,1
10,10053,9/30/2018,7.4,1
10,10125,9/30/2018,7.4,1
10,10189,9/30/2018,8.4,1
10,10249,9/30/2018,6.6,1
10,10160,9/30/2018,3.8,1
10,10146,9/30/2018,6,1
10,10004,9/30/2018,6,1
10,10109,9/30/2018,10.6,2
10,10179,9/30/2018,5.8,1
10,10134,9/30/2018,4.2,1
10,10002,9/30/2018,5.8,1
10,10005,9/30/2018,14,2
10,10105,9/30/2018,8.8,1
